,program,position,line
0,ae_indep_qiskit_2,1,6
1,ae_indep_qiskit_2,2,8
2,ae_indep_qiskit_2,3,9
3,ae_indep_qiskit_2,4,11
4,ae_indep_qiskit_2,5,12
5,ae_indep_qiskit_3,1,7
6,ae_indep_qiskit_3,2,9
7,ae_indep_qiskit_3,3,11
8,ae_indep_qiskit_3,4,13
9,ae_indep_qiskit_3,5,15
10,ae_indep_qiskit_3,6,17
11,ae_indep_qiskit_3,7,18
12,ae_indep_qiskit_3,8,19
13,ae_indep_qiskit_3,9,20
14,ae_indep_qiskit_4,1,8
15,ae_indep_qiskit_4,2,10
16,ae_indep_qiskit_4,3,12
17,ae_indep_qiskit_4,4,14
18,ae_indep_qiskit_4,5,16
19,ae_indep_qiskit_4,6,18
20,ae_indep_qiskit_4,7,20
21,ae_indep_qiskit_4,8,23
22,ae_indep_qiskit_4,9,25
23,ae_indep_qiskit_4,10,26
24,ae_indep_qiskit_4,11,27
25,ae_indep_qiskit_4,12,28
26,ae_indep_qiskit_4,13,29
27,ae_indep_qiskit_5,1,9
28,ae_indep_qiskit_5,2,11
29,ae_indep_qiskit_5,3,13
30,ae_indep_qiskit_5,4,15
31,ae_indep_qiskit_5,5,17
32,ae_indep_qiskit_5,6,19
33,ae_indep_qiskit_5,7,21
34,ae_indep_qiskit_5,8,23
35,ae_indep_qiskit_5,9,25
36,ae_indep_qiskit_5,10,29
37,ae_indep_qiskit_5,11,32
38,ae_indep_qiskit_5,12,34
39,ae_indep_qiskit_5,13,35
40,ae_indep_qiskit_5,14,36
41,ae_indep_qiskit_5,15,37
42,ae_indep_qiskit_5,16,38
43,ae_indep_qiskit_5,17,39
44,ae_indep_qiskit_6,1,10
45,ae_indep_qiskit_6,2,12
46,ae_indep_qiskit_6,3,14
47,ae_indep_qiskit_6,4,16
48,ae_indep_qiskit_6,5,18
49,ae_indep_qiskit_6,6,20
50,ae_indep_qiskit_6,7,22
51,ae_indep_qiskit_6,8,24
52,ae_indep_qiskit_6,9,26
53,ae_indep_qiskit_6,10,28
54,ae_indep_qiskit_6,11,30
55,ae_indep_qiskit_6,12,35
56,ae_indep_qiskit_6,13,39
57,ae_indep_qiskit_6,14,42
58,ae_indep_qiskit_6,15,44
59,ae_indep_qiskit_6,16,45
60,ae_indep_qiskit_6,17,46
61,ae_indep_qiskit_6,18,47
62,ae_indep_qiskit_6,19,48
63,ae_indep_qiskit_6,20,49
64,ae_indep_qiskit_6,21,50
65,ae_indep_qiskit_7,1,11
66,ae_indep_qiskit_7,2,13
67,ae_indep_qiskit_7,3,15
68,ae_indep_qiskit_7,4,17
