Origin_program,Qubits,Operator,Gate,Position,Killed
groundstate_medium_indep_qiskit_12,12,Add,ccx,100,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,101,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,102,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,103,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,104,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,105,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,106,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,107,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,108,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,109,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,10,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,110,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,111,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,112,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,113,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,114,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,115,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,116,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,117,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,118,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,119,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,11,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,120,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,121,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,122,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,123,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,124,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,125,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,126,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,127,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,128,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,129,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,12,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,130,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,131,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,132,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,133,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,134,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,135,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,136,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,137,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,138,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,139,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,13,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,140,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,141,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,142,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,143,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,144,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,14,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,15,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,16,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,17,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,18,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,19,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,1,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,20,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,21,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,22,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,23,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,24,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,25,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,26,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,27,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,28,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,29,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,2,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,30,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,31,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,32,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,33,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,34,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,35,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,36,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,37,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,38,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,39,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,3,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,40,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,41,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,42,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,43,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,44,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,45,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,46,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,47,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,48,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,49,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,4,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,50,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,51,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,52,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,53,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,54,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,55,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,56,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,57,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,58,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,59,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,5,Survivor
groundstate_medium_indep_qiskit_12,12,Add,ccx,60,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,61,WOO
groundstate_medium_indep_qiskit_12,12,Add,ccx,62,WOO
