Origin_program,Qubits,Operator,Gate,Position,Killed
grover-noancilla_indep_qiskit_2,2,Add,cx,1,Survivor
grover-noancilla_indep_qiskit_2,2,Add,cx,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,cx,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,cx,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,cz,1,Survivor
grover-noancilla_indep_qiskit_2,2,Add,cz,2,Survivor
grover-noancilla_indep_qiskit_2,2,Add,cz,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,cz,4,Survivor
grover-noancilla_indep_qiskit_2,2,Add,h,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,h,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,h,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,h,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,id,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,id,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,id,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,id,4,Survivor
grover-noancilla_indep_qiskit_2,2,Add,p,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,p,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,p,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,p,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,rx,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,rx,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,rx,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,rx,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,rxx,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,rxx,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,rxx,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,rxx,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,ry,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,ry,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,ry,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,ry,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,rz,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,rz,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,rz,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,rz,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,rzz,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,rzz,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,rzz,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,rzz,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,s,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,s,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,s,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,s,4,Survivor
grover-noancilla_indep_qiskit_2,2,Add,swap,1,Survivor
grover-noancilla_indep_qiskit_2,2,Add,swap,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,swap,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,swap,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,sx,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,sx,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,sx,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,sx,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,t,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,t,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,t,3,WOO
grover-noancilla_indep_qiskit_2,2,Add,t,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,x,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,x,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,x,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,x,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,y,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,y,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,y,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,y,4,WOO
grover-noancilla_indep_qiskit_2,2,Add,z,1,WOO
grover-noancilla_indep_qiskit_2,2,Add,z,2,WOO
grover-noancilla_indep_qiskit_2,2,Add,z,3,Survivor
grover-noancilla_indep_qiskit_2,2,Add,z,4,Survivor
grover-noancilla_indep_qiskit_2,2,Remove,h,1,WOO
grover-noancilla_indep_qiskit_2,2,Remove,x,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,h,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,id,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,id,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,p,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,rx,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,rx,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,ry,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,ry,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,rz,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,rz,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,s,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,s,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,sx,1,Survivor
grover-noancilla_indep_qiskit_2,2,Replace,sx,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,t,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,t,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,x,1,Survivor
grover-noancilla_indep_qiskit_2,2,Replace,x,2,WOO
grover-noancilla_indep_qiskit_2,2,Replace,y,1,Survivor
grover-noancilla_indep_qiskit_2,2,Replace,y,2,Survivor
grover-noancilla_indep_qiskit_2,2,Replace,z,1,WOO
grover-noancilla_indep_qiskit_2,2,Replace,z,2,WOO
grover-noancilla_indep_qiskit_3,3,Add,ccx,10,WOO
grover-noancilla_indep_qiskit_3,3,Add,ccx,11,WOO
