Origin_program,Qubits,Operator,Gate,Position,Killed
grover-v-chain_indep_qiskit_2,2,Add,cx,1,Survivor
grover-v-chain_indep_qiskit_2,2,Add,cx,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,cx,3,Survivor
grover-v-chain_indep_qiskit_2,2,Add,cx,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,cz,1,Survivor
grover-v-chain_indep_qiskit_2,2,Add,cz,2,Survivor
grover-v-chain_indep_qiskit_2,2,Add,cz,3,Survivor
grover-v-chain_indep_qiskit_2,2,Add,cz,4,Survivor
grover-v-chain_indep_qiskit_2,2,Add,h,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,h,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,h,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,h,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,id,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,id,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,id,3,Survivor
grover-v-chain_indep_qiskit_2,2,Add,id,4,Survivor
grover-v-chain_indep_qiskit_2,2,Add,p,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,p,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,p,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,p,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,rx,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,rx,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,rx,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,rx,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,rxx,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,rxx,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,rxx,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,rxx,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,ry,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,ry,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,ry,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,ry,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,rz,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,rz,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,rz,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,rz,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,rzz,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,rzz,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,rzz,3,WOO
grover-v-chain_indep_qiskit_2,2,Add,rzz,4,WOO
grover-v-chain_indep_qiskit_2,2,Add,s,1,WOO
grover-v-chain_indep_qiskit_2,2,Add,s,2,WOO
grover-v-chain_indep_qiskit_2,2,Add,s,3,Survivor
grover-v-chain_indep_qiskit_2,2,Add,s,4,Survivor
grover-v-chain_indep_qiskit_2,2,Add,swap,1,Survivor
grover-v-chain_indep_qiskit_2,2,Add,swap,2,WOO
