Origin_program,Qubits,Operator,Gate,Position,Killed
pricingput_indep_qiskit_5,5,Add,ccx,10,WOO
pricingput_indep_qiskit_5,5,Add,ccx,11,WOO
pricingput_indep_qiskit_5,5,Add,ccx,12,WOO
pricingput_indep_qiskit_5,5,Add,ccx,13,WOO
pricingput_indep_qiskit_5,5,Add,ccx,14,WOO
pricingput_indep_qiskit_5,5,Add,ccx,15,WOO
pricingput_indep_qiskit_5,5,Add,ccx,16,WOO
pricingput_indep_qiskit_5,5,Add,ccx,17,WOO
pricingput_indep_qiskit_5,5,Add,ccx,18,WOO
pricingput_indep_qiskit_5,5,Add,ccx,19,WOO
pricingput_indep_qiskit_5,5,Add,ccx,1,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,20,WOO
pricingput_indep_qiskit_5,5,Add,ccx,21,WOO
pricingput_indep_qiskit_5,5,Add,ccx,22,WOO
pricingput_indep_qiskit_5,5,Add,ccx,23,WOO
pricingput_indep_qiskit_5,5,Add,ccx,24,WOO
pricingput_indep_qiskit_5,5,Add,ccx,25,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,26,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,27,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,28,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,29,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,2,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,30,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,31,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,32,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,33,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,34,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,35,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,3,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,4,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,5,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,6,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,7,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,8,Survivor
pricingput_indep_qiskit_5,5,Add,ccx,9,WOO
pricingput_indep_qiskit_5,5,Add,cswap,10,WOO
