Origin_program,Qubits,Operator,Gate,Position,Killed
qftentangled_indep_qiskit_2,2,Add,cx,1,Survivor
qftentangled_indep_qiskit_2,2,Add,cx,2,WOO
qftentangled_indep_qiskit_2,2,Add,cx,3,Survivor
qftentangled_indep_qiskit_2,2,Add,cx,4,Survivor
qftentangled_indep_qiskit_2,2,Add,cx,5,WOO
qftentangled_indep_qiskit_2,2,Add,cx,6,WOO
qftentangled_indep_qiskit_2,2,Add,cx,7,Survivor
qftentangled_indep_qiskit_2,2,Add,cz,1,Survivor
qftentangled_indep_qiskit_2,2,Add,cz,2,Survivor
qftentangled_indep_qiskit_2,2,Add,cz,3,WOO
qftentangled_indep_qiskit_2,2,Add,cz,4,Survivor
qftentangled_indep_qiskit_2,2,Add,cz,5,Survivor
qftentangled_indep_qiskit_2,2,Add,cz,6,Survivor
qftentangled_indep_qiskit_2,2,Add,cz,7,Survivor
qftentangled_indep_qiskit_2,2,Add,h,1,WOO
qftentangled_indep_qiskit_2,2,Add,h,2,WOO
qftentangled_indep_qiskit_2,2,Add,h,3,WOO
qftentangled_indep_qiskit_2,2,Add,h,4,WOO
qftentangled_indep_qiskit_2,2,Add,h,5,WOO
qftentangled_indep_qiskit_2,2,Add,h,6,WOO
qftentangled_indep_qiskit_2,2,Add,h,7,WOO
qftentangled_indep_qiskit_2,2,Add,id,1,Survivor
qftentangled_indep_qiskit_2,2,Add,id,2,Survivor
qftentangled_indep_qiskit_2,2,Add,id,3,Survivor
qftentangled_indep_qiskit_2,2,Add,id,4,Survivor
qftentangled_indep_qiskit_2,2,Add,id,5,Survivor
qftentangled_indep_qiskit_2,2,Add,id,6,Survivor
qftentangled_indep_qiskit_2,2,Add,id,7,Survivor
qftentangled_indep_qiskit_2,2,Add,p,1,Survivor
qftentangled_indep_qiskit_2,2,Add,p,2,Survivor
qftentangled_indep_qiskit_2,2,Add,p,3,WOO
qftentangled_indep_qiskit_2,2,Add,p,4,WOO
qftentangled_indep_qiskit_2,2,Add,p,5,Survivor
qftentangled_indep_qiskit_2,2,Add,p,6,Survivor
qftentangled_indep_qiskit_2,2,Add,p,7,Survivor
qftentangled_indep_qiskit_2,2,Add,rx,1,WOO
qftentangled_indep_qiskit_2,2,Add,rx,2,Survivor
qftentangled_indep_qiskit_2,2,Add,rx,3,Survivor
qftentangled_indep_qiskit_2,2,Add,rx,4,Survivor
qftentangled_indep_qiskit_2,2,Add,rx,5,WOO
qftentangled_indep_qiskit_2,2,Add,rx,6,WOO
qftentangled_indep_qiskit_2,2,Add,rx,7,WOO
qftentangled_indep_qiskit_2,2,Add,rxx,1,WOO
qftentangled_indep_qiskit_2,2,Add,rxx,2,Survivor
qftentangled_indep_qiskit_2,2,Add,rxx,3,Survivor
qftentangled_indep_qiskit_2,2,Add,rxx,4,WOO
qftentangled_indep_qiskit_2,2,Add,rxx,5,WOO
qftentangled_indep_qiskit_2,2,Add,rxx,6,WOO
qftentangled_indep_qiskit_2,2,Add,rxx,7,WOO
qftentangled_indep_qiskit_2,2,Add,ry,1,WOO
qftentangled_indep_qiskit_2,2,Add,ry,2,Survivor
qftentangled_indep_qiskit_2,2,Add,ry,3,WOO
