Origin_program,Qubits,Operator,Gate,Position,Killed
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,10,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,11,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,12,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,13,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,14,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,15,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,16,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,17,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,18,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,19,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,1,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,20,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,21,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,22,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,23,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,24,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,25,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,26,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,2,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,3,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,4,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,5,Survivor
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,6,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,7,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,8,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,ccx,9,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,cswap,10,WOO
qwalk-noancilla_indep_qiskit_3,3,Add,cswap,11,WOO
