Origin_program,Qubits,Operator,Gate,Position,Killed
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,10,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,11,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,12,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,13,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,14,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,15,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,16,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,17,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,18,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,19,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,1,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,20,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,21,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,22,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,23,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,24,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,25,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,26,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,2,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,3,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,4,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,5,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,6,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,7,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,8,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,ccx,9,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,10,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,11,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,12,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,13,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,14,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,15,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,16,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,17,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,18,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,19,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,1,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,20,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,21,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,22,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,23,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,24,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,25,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,26,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,2,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,3,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,4,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,5,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,6,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,7,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,8,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cswap,9,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cx,10,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,11,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,12,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,13,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,14,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,15,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,16,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cx,17,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,18,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,19,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,1,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cx,20,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,21,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,22,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cx,23,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,24,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,25,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,26,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cx,2,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cx,3,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,4,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,5,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,6,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,7,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,8,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cx,9,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cz,10,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cz,11,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,12,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cz,13,WOO
qwalk-v-chain_indep_qiskit_3,3,Add,cz,14,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,15,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,16,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,17,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,18,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,19,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,1,Survivor
qwalk-v-chain_indep_qiskit_3,3,Add,cz,20,Survivor
