Origin_program,Qubits,Operator,Gate,Position,Killed
routing_indep_qiskit_2,2,Add,cx,10,Survivor
routing_indep_qiskit_2,2,Add,cx,11,WOO
routing_indep_qiskit_2,2,Add,cx,12,WOO
routing_indep_qiskit_2,2,Add,cx,13,WOO
routing_indep_qiskit_2,2,Add,cx,1,Survivor
routing_indep_qiskit_2,2,Add,cx,2,WOO
routing_indep_qiskit_2,2,Add,cx,3,WOO
routing_indep_qiskit_2,2,Add,cx,4,WOO
routing_indep_qiskit_2,2,Add,cx,5,WOO
routing_indep_qiskit_2,2,Add,cx,6,WOO
routing_indep_qiskit_2,2,Add,cx,7,Survivor
routing_indep_qiskit_2,2,Add,cx,8,WOO
routing_indep_qiskit_2,2,Add,cx,9,Survivor
routing_indep_qiskit_2,2,Add,cz,10,Survivor
routing_indep_qiskit_2,2,Add,cz,11,Survivor
routing_indep_qiskit_2,2,Add,cz,12,Survivor
routing_indep_qiskit_2,2,Add,cz,13,Survivor
routing_indep_qiskit_2,2,Add,cz,1,Survivor
routing_indep_qiskit_2,2,Add,cz,2,Survivor
routing_indep_qiskit_2,2,Add,cz,3,WOO
routing_indep_qiskit_2,2,Add,cz,4,WOO
routing_indep_qiskit_2,2,Add,cz,5,Survivor
routing_indep_qiskit_2,2,Add,cz,6,WOO
routing_indep_qiskit_2,2,Add,cz,7,Survivor
routing_indep_qiskit_2,2,Add,cz,8,WOO
routing_indep_qiskit_2,2,Add,cz,9,WOO
routing_indep_qiskit_2,2,Add,h,10,WOO
routing_indep_qiskit_2,2,Add,h,11,Survivor
routing_indep_qiskit_2,2,Add,h,12,WOO
routing_indep_qiskit_2,2,Add,h,13,WOO
routing_indep_qiskit_2,2,Add,h,1,Survivor
routing_indep_qiskit_2,2,Add,h,2,Survivor
routing_indep_qiskit_2,2,Add,h,3,Survivor
routing_indep_qiskit_2,2,Add,h,4,Survivor
routing_indep_qiskit_2,2,Add,h,5,WOO
routing_indep_qiskit_2,2,Add,h,6,Survivor
routing_indep_qiskit_2,2,Add,h,7,WOO
routing_indep_qiskit_2,2,Add,h,8,WOO
routing_indep_qiskit_2,2,Add,h,9,WOO
routing_indep_qiskit_2,2,Add,id,10,Survivor
routing_indep_qiskit_2,2,Add,id,11,Survivor
routing_indep_qiskit_2,2,Add,id,12,Survivor
routing_indep_qiskit_2,2,Add,id,13,Survivor
routing_indep_qiskit_2,2,Add,id,1,Survivor
routing_indep_qiskit_2,2,Add,id,2,Survivor
routing_indep_qiskit_2,2,Add,id,3,Survivor
routing_indep_qiskit_2,2,Add,id,4,Survivor
routing_indep_qiskit_2,2,Add,id,5,Survivor
routing_indep_qiskit_2,2,Add,id,6,Survivor
routing_indep_qiskit_2,2,Add,id,7,Survivor
routing_indep_qiskit_2,2,Add,id,8,Survivor
routing_indep_qiskit_2,2,Add,id,9,Survivor
routing_indep_qiskit_2,2,Add,p,10,Survivor
routing_indep_qiskit_2,2,Add,p,11,Survivor
routing_indep_qiskit_2,2,Add,p,12,Survivor
routing_indep_qiskit_2,2,Add,p,13,Survivor
routing_indep_qiskit_2,2,Add,p,1,Survivor
routing_indep_qiskit_2,2,Add,p,2,Survivor
routing_indep_qiskit_2,2,Add,p,3,WOO
routing_indep_qiskit_2,2,Add,p,4,Survivor
routing_indep_qiskit_2,2,Add,p,5,Survivor
routing_indep_qiskit_2,2,Add,p,6,Survivor
routing_indep_qiskit_2,2,Add,p,7,WOO
routing_indep_qiskit_2,2,Add,p,8,Survivor
routing_indep_qiskit_2,2,Add,p,9,Survivor
routing_indep_qiskit_2,2,Add,rx,10,Survivor
routing_indep_qiskit_2,2,Add,rx,11,Survivor
routing_indep_qiskit_2,2,Add,rx,12,WOO
routing_indep_qiskit_2,2,Add,rx,13,WOO
routing_indep_qiskit_2,2,Add,rx,1,WOO
routing_indep_qiskit_2,2,Add,rx,2,Survivor
routing_indep_qiskit_2,2,Add,rx,3,Survivor
routing_indep_qiskit_2,2,Add,rx,4,Survivor
routing_indep_qiskit_2,2,Add,rx,5,Survivor
routing_indep_qiskit_2,2,Add,rx,6,Survivor
routing_indep_qiskit_2,2,Add,rx,7,WOO
routing_indep_qiskit_2,2,Add,rx,8,Survivor
routing_indep_qiskit_2,2,Add,rx,9,WOO
routing_indep_qiskit_2,2,Add,rxx,10,WOO
routing_indep_qiskit_2,2,Add,rxx,11,Survivor
routing_indep_qiskit_2,2,Add,rxx,12,WOO
routing_indep_qiskit_2,2,Add,rxx,13,WOO
routing_indep_qiskit_2,2,Add,rxx,1,Survivor
routing_indep_qiskit_2,2,Add,rxx,2,Survivor
routing_indep_qiskit_2,2,Add,rxx,3,Survivor
routing_indep_qiskit_2,2,Add,rxx,4,Survivor
routing_indep_qiskit_2,2,Add,rxx,5,Survivor
routing_indep_qiskit_2,2,Add,rxx,6,WOO
routing_indep_qiskit_2,2,Add,rxx,7,Survivor
routing_indep_qiskit_2,2,Add,rxx,8,Survivor
routing_indep_qiskit_2,2,Add,rxx,9,Survivor
routing_indep_qiskit_2,2,Add,ry,10,WOO
routing_indep_qiskit_2,2,Add,ry,11,WOO
routing_indep_qiskit_2,2,Add,ry,12,WOO
routing_indep_qiskit_2,2,Add,ry,13,WOO
routing_indep_qiskit_2,2,Add,ry,1,Survivor
routing_indep_qiskit_2,2,Add,ry,2,Survivor
routing_indep_qiskit_2,2,Add,ry,3,WOO
routing_indep_qiskit_2,2,Add,ry,4,Survivor
routing_indep_qiskit_2,2,Add,ry,5,Survivor
routing_indep_qiskit_2,2,Add,ry,6,WOO
routing_indep_qiskit_2,2,Add,ry,7,WOO
routing_indep_qiskit_2,2,Add,ry,8,WOO
routing_indep_qiskit_2,2,Add,ry,9,WOO
routing_indep_qiskit_2,2,Add,rz,10,Survivor
routing_indep_qiskit_2,2,Add,rz,11,Survivor
routing_indep_qiskit_2,2,Add,rz,12,Survivor
routing_indep_qiskit_2,2,Add,rz,13,Survivor
routing_indep_qiskit_2,2,Add,rz,1,Survivor
routing_indep_qiskit_2,2,Add,rz,2,Survivor
routing_indep_qiskit_2,2,Add,rz,3,Survivor
routing_indep_qiskit_2,2,Add,rz,4,Survivor
routing_indep_qiskit_2,2,Add,rz,5,Survivor
routing_indep_qiskit_2,2,Add,rz,6,Survivor
routing_indep_qiskit_2,2,Add,rz,7,WOO
routing_indep_qiskit_2,2,Add,rz,8,WOO
routing_indep_qiskit_2,2,Add,rz,9,Survivor
routing_indep_qiskit_2,2,Add,rzz,10,WOO
routing_indep_qiskit_2,2,Add,rzz,11,Survivor
routing_indep_qiskit_2,2,Add,rzz,12,Survivor
routing_indep_qiskit_2,2,Add,rzz,13,Survivor
routing_indep_qiskit_2,2,Add,rzz,1,Survivor
routing_indep_qiskit_2,2,Add,rzz,2,Survivor
routing_indep_qiskit_2,2,Add,rzz,3,WOO
routing_indep_qiskit_2,2,Add,rzz,4,Survivor
routing_indep_qiskit_2,2,Add,rzz,5,Survivor
routing_indep_qiskit_2,2,Add,rzz,6,WOO
routing_indep_qiskit_2,2,Add,rzz,7,Survivor
routing_indep_qiskit_2,2,Add,rzz,8,WOO
routing_indep_qiskit_2,2,Add,rzz,9,Survivor
routing_indep_qiskit_2,2,Add,s,10,Survivor
routing_indep_qiskit_2,2,Add,s,11,Survivor
routing_indep_qiskit_2,2,Add,s,12,Survivor
routing_indep_qiskit_2,2,Add,s,13,Survivor
routing_indep_qiskit_2,2,Add,s,1,Survivor
routing_indep_qiskit_2,2,Add,s,2,Survivor
routing_indep_qiskit_2,2,Add,s,3,Survivor
routing_indep_qiskit_2,2,Add,s,4,Survivor
routing_indep_qiskit_2,2,Add,s,5,Survivor
routing_indep_qiskit_2,2,Add,s,6,Survivor
routing_indep_qiskit_2,2,Add,s,7,Survivor
routing_indep_qiskit_2,2,Add,s,8,Survivor
routing_indep_qiskit_2,2,Add,s,9,Survivor
routing_indep_qiskit_2,2,Add,swap,10,Survivor
routing_indep_qiskit_2,2,Add,swap,11,WOO
routing_indep_qiskit_2,2,Add,swap,12,Survivor
routing_indep_qiskit_2,2,Add,swap,13,Survivor
routing_indep_qiskit_2,2,Add,swap,1,Survivor
routing_indep_qiskit_2,2,Add,swap,2,WOO
routing_indep_qiskit_2,2,Add,swap,3,WOO
routing_indep_qiskit_2,2,Add,swap,4,Survivor
routing_indep_qiskit_2,2,Add,swap,5,Survivor
routing_indep_qiskit_2,2,Add,swap,6,Survivor
routing_indep_qiskit_2,2,Add,swap,7,Survivor
routing_indep_qiskit_2,2,Add,swap,8,WOO
routing_indep_qiskit_2,2,Add,swap,9,Survivor
routing_indep_qiskit_2,2,Add,sx,10,Survivor
routing_indep_qiskit_2,2,Add,sx,11,Survivor
routing_indep_qiskit_2,2,Add,sx,12,WOO
routing_indep_qiskit_2,2,Add,sx,13,WOO
routing_indep_qiskit_2,2,Add,sx,1,Survivor
routing_indep_qiskit_2,2,Add,sx,2,Survivor
routing_indep_qiskit_2,2,Add,sx,3,Survivor
routing_indep_qiskit_2,2,Add,sx,4,Survivor
routing_indep_qiskit_2,2,Add,sx,5,Survivor
routing_indep_qiskit_2,2,Add,sx,6,Survivor
routing_indep_qiskit_2,2,Add,sx,7,Survivor
routing_indep_qiskit_2,2,Add,sx,8,Survivor
routing_indep_qiskit_2,2,Add,sx,9,Survivor
routing_indep_qiskit_2,2,Add,t,10,Survivor
routing_indep_qiskit_2,2,Add,t,11,Survivor
routing_indep_qiskit_2,2,Add,t,12,Survivor
routing_indep_qiskit_2,2,Add,t,13,Survivor
routing_indep_qiskit_2,2,Add,t,1,Survivor
routing_indep_qiskit_2,2,Add,t,2,Survivor
routing_indep_qiskit_2,2,Add,t,3,Survivor
routing_indep_qiskit_2,2,Add,t,4,Survivor
routing_indep_qiskit_2,2,Add,t,5,Survivor
routing_indep_qiskit_2,2,Add,t,6,Survivor
routing_indep_qiskit_2,2,Add,t,7,Survivor
routing_indep_qiskit_2,2,Add,t,8,Survivor
routing_indep_qiskit_2,2,Add,t,9,Survivor
routing_indep_qiskit_2,2,Add,x,10,Survivor
routing_indep_qiskit_2,2,Add,x,11,WOO
routing_indep_qiskit_2,2,Add,x,12,WOO
routing_indep_qiskit_2,2,Add,x,13,WOO
routing_indep_qiskit_2,2,Add,x,1,WOO
routing_indep_qiskit_2,2,Add,x,2,WOO
routing_indep_qiskit_2,2,Add,x,3,Survivor
routing_indep_qiskit_2,2,Add,x,4,Survivor
routing_indep_qiskit_2,2,Add,x,5,Survivor
routing_indep_qiskit_2,2,Add,x,6,WOO
routing_indep_qiskit_2,2,Add,x,7,WOO
routing_indep_qiskit_2,2,Add,x,8,WOO
routing_indep_qiskit_2,2,Add,x,9,WOO
routing_indep_qiskit_2,2,Add,y,10,WOO
routing_indep_qiskit_2,2,Add,y,11,WOO
routing_indep_qiskit_2,2,Add,y,12,WOO
routing_indep_qiskit_2,2,Add,y,13,WOO
routing_indep_qiskit_2,2,Add,y,1,WOO
routing_indep_qiskit_2,2,Add,y,2,WOO
