Origin_program,Qubits,Operator,Gate,Position,Killed
vqe_indep_qiskit_3,3,Add,ccx,10,Survivor
vqe_indep_qiskit_3,3,Add,ccx,11,Survivor
vqe_indep_qiskit_3,3,Add,ccx,12,Survivor
vqe_indep_qiskit_3,3,Add,ccx,13,Survivor
vqe_indep_qiskit_3,3,Add,ccx,14,Survivor
vqe_indep_qiskit_3,3,Add,ccx,15,Survivor
vqe_indep_qiskit_3,3,Add,ccx,16,Survivor
vqe_indep_qiskit_3,3,Add,ccx,1,Survivor
vqe_indep_qiskit_3,3,Add,ccx,2,Survivor
vqe_indep_qiskit_3,3,Add,ccx,3,Survivor
vqe_indep_qiskit_3,3,Add,ccx,4,WOO
vqe_indep_qiskit_3,3,Add,ccx,5,Survivor
vqe_indep_qiskit_3,3,Add,ccx,6,Survivor
vqe_indep_qiskit_3,3,Add,ccx,7,Survivor
vqe_indep_qiskit_3,3,Add,ccx,8,Survivor
vqe_indep_qiskit_3,3,Add,ccx,9,Survivor
vqe_indep_qiskit_3,3,Add,cswap,10,Survivor
vqe_indep_qiskit_3,3,Add,cswap,11,Survivor
vqe_indep_qiskit_3,3,Add,cswap,12,Survivor
vqe_indep_qiskit_3,3,Add,cswap,13,Survivor
vqe_indep_qiskit_3,3,Add,cswap,14,Survivor
vqe_indep_qiskit_3,3,Add,cswap,15,Survivor
vqe_indep_qiskit_3,3,Add,cswap,16,Survivor
vqe_indep_qiskit_3,3,Add,cswap,1,Survivor
vqe_indep_qiskit_3,3,Add,cswap,2,Survivor
vqe_indep_qiskit_3,3,Add,cswap,3,Survivor
vqe_indep_qiskit_3,3,Add,cswap,4,Survivor
vqe_indep_qiskit_3,3,Add,cswap,5,Survivor
vqe_indep_qiskit_3,3,Add,cswap,6,Survivor
vqe_indep_qiskit_3,3,Add,cswap,7,Survivor
vqe_indep_qiskit_3,3,Add,cswap,8,Survivor
vqe_indep_qiskit_3,3,Add,cswap,9,Survivor
vqe_indep_qiskit_3,3,Add,cx,10,Survivor
vqe_indep_qiskit_3,3,Add,cx,11,Survivor
vqe_indep_qiskit_3,3,Add,cx,12,WOO
vqe_indep_qiskit_3,3,Add,cx,13,Survivor
vqe_indep_qiskit_3,3,Add,cx,14,Survivor
vqe_indep_qiskit_3,3,Add,cx,15,WOO
vqe_indep_qiskit_3,3,Add,cx,16,Survivor
vqe_indep_qiskit_3,3,Add,cx,1,Survivor
vqe_indep_qiskit_3,3,Add,cx,2,Survivor
vqe_indep_qiskit_3,3,Add,cx,3,Survivor
vqe_indep_qiskit_3,3,Add,cx,4,WOO
vqe_indep_qiskit_3,3,Add,cx,5,Survivor
vqe_indep_qiskit_3,3,Add,cx,6,WOO
vqe_indep_qiskit_3,3,Add,cx,7,Survivor
vqe_indep_qiskit_3,3,Add,cx,8,Survivor
