Origin_program,Qubits,Operator,Gate,Position,Killed
wstate_indep_qiskit_2,2,Add,cx,1,Survivor
wstate_indep_qiskit_2,2,Add,cx,2,WOO
wstate_indep_qiskit_2,2,Add,cx,3,WOO
wstate_indep_qiskit_2,2,Add,cx,4,WOO
wstate_indep_qiskit_2,2,Add,cx,5,WOO
wstate_indep_qiskit_2,2,Add,cx,6,WOO
wstate_indep_qiskit_2,2,Add,cx,7,WOO
wstate_indep_qiskit_2,2,Add,cz,1,Survivor
wstate_indep_qiskit_2,2,Add,cz,2,Survivor
wstate_indep_qiskit_2,2,Add,cz,3,WOO
wstate_indep_qiskit_2,2,Add,cz,4,WOO
wstate_indep_qiskit_2,2,Add,cz,5,Survivor
wstate_indep_qiskit_2,2,Add,cz,6,Survivor
wstate_indep_qiskit_2,2,Add,cz,7,Survivor
wstate_indep_qiskit_2,2,Add,h,1,WOO
wstate_indep_qiskit_2,2,Add,h,2,WOO
wstate_indep_qiskit_2,2,Add,h,3,Survivor
wstate_indep_qiskit_2,2,Add,h,4,Survivor
wstate_indep_qiskit_2,2,Add,h,5,WOO
wstate_indep_qiskit_2,2,Add,h,6,WOO
wstate_indep_qiskit_2,2,Add,h,7,WOO
wstate_indep_qiskit_2,2,Add,id,1,Survivor
wstate_indep_qiskit_2,2,Add,id,2,Survivor
wstate_indep_qiskit_2,2,Add,id,3,Survivor
wstate_indep_qiskit_2,2,Add,id,4,Survivor
wstate_indep_qiskit_2,2,Add,id,5,Survivor
wstate_indep_qiskit_2,2,Add,id,6,Survivor
wstate_indep_qiskit_2,2,Add,id,7,Survivor
wstate_indep_qiskit_2,2,Add,p,1,Survivor
wstate_indep_qiskit_2,2,Add,p,2,Survivor
wstate_indep_qiskit_2,2,Add,p,3,OPO
wstate_indep_qiskit_2,2,Add,p,4,WOO
wstate_indep_qiskit_2,2,Add,p,5,Survivor
wstate_indep_qiskit_2,2,Add,p,6,Survivor
wstate_indep_qiskit_2,2,Add,p,7,Survivor
wstate_indep_qiskit_2,2,Add,rx,1,Survivor
wstate_indep_qiskit_2,2,Add,rx,2,WOO
wstate_indep_qiskit_2,2,Add,rx,3,OPO
wstate_indep_qiskit_2,2,Add,rx,4,WOO
wstate_indep_qiskit_2,2,Add,rx,5,WOO
wstate_indep_qiskit_2,2,Add,rx,6,WOO
wstate_indep_qiskit_2,2,Add,rx,7,WOO
wstate_indep_qiskit_2,2,Add,rxx,1,WOO
wstate_indep_qiskit_2,2,Add,rxx,2,WOO
wstate_indep_qiskit_2,2,Add,rxx,3,WOO
wstate_indep_qiskit_2,2,Add,rxx,4,WOO
wstate_indep_qiskit_2,2,Add,rxx,5,WOO
wstate_indep_qiskit_2,2,Add,rxx,6,Survivor
wstate_indep_qiskit_2,2,Add,rxx,7,Survivor
wstate_indep_qiskit_2,2,Add,ry,1,WOO
wstate_indep_qiskit_2,2,Add,ry,2,WOO
wstate_indep_qiskit_2,2,Add,ry,3,Survivor
wstate_indep_qiskit_2,2,Add,ry,4,WOO
wstate_indep_qiskit_2,2,Add,ry,5,WOO
wstate_indep_qiskit_2,2,Add,ry,6,WOO
wstate_indep_qiskit_2,2,Add,ry,7,WOO
wstate_indep_qiskit_2,2,Add,rz,1,Survivor
wstate_indep_qiskit_2,2,Add,rz,2,Survivor
wstate_indep_qiskit_2,2,Add,rz,3,WOO
wstate_indep_qiskit_2,2,Add,rz,4,WOO
wstate_indep_qiskit_2,2,Add,rz,5,Survivor
wstate_indep_qiskit_2,2,Add,rz,6,Survivor
wstate_indep_qiskit_2,2,Add,rz,7,Survivor
wstate_indep_qiskit_2,2,Add,rzz,1,Survivor
wstate_indep_qiskit_2,2,Add,rzz,2,OPO
wstate_indep_qiskit_2,2,Add,rzz,3,OPO
wstate_indep_qiskit_2,2,Add,rzz,4,OPO
wstate_indep_qiskit_2,2,Add,rzz,5,Survivor
wstate_indep_qiskit_2,2,Add,rzz,6,Survivor
wstate_indep_qiskit_2,2,Add,rzz,7,Survivor
wstate_indep_qiskit_2,2,Add,s,1,Survivor
wstate_indep_qiskit_2,2,Add,s,2,Survivor
wstate_indep_qiskit_2,2,Add,s,3,OPO
wstate_indep_qiskit_2,2,Add,s,4,OPO
wstate_indep_qiskit_2,2,Add,s,5,Survivor
wstate_indep_qiskit_2,2,Add,s,6,Survivor
wstate_indep_qiskit_2,2,Add,s,7,Survivor
wstate_indep_qiskit_2,2,Add,swap,1,Survivor
wstate_indep_qiskit_2,2,Add,swap,2,WOO
wstate_indep_qiskit_2,2,Add,swap,3,WOO
wstate_indep_qiskit_2,2,Add,swap,4,WOO
wstate_indep_qiskit_2,2,Add,swap,5,WOO
wstate_indep_qiskit_2,2,Add,swap,6,Survivor
wstate_indep_qiskit_2,2,Add,swap,7,Survivor
wstate_indep_qiskit_2,2,Add,sx,1,Survivor
wstate_indep_qiskit_2,2,Add,sx,2,WOO
wstate_indep_qiskit_2,2,Add,sx,3,OPO
wstate_indep_qiskit_2,2,Add,sx,4,OPO
wstate_indep_qiskit_2,2,Add,sx,5,WOO
wstate_indep_qiskit_2,2,Add,sx,6,WOO
wstate_indep_qiskit_2,2,Add,sx,7,WOO
wstate_indep_qiskit_2,2,Add,t,1,Survivor
wstate_indep_qiskit_2,2,Add,t,2,Survivor
wstate_indep_qiskit_2,2,Add,t,3,OPO
wstate_indep_qiskit_2,2,Add,t,4,OPO
wstate_indep_qiskit_2,2,Add,t,5,Survivor
wstate_indep_qiskit_2,2,Add,t,6,Survivor
wstate_indep_qiskit_2,2,Add,t,7,Survivor
wstate_indep_qiskit_2,2,Add,x,1,Survivor
wstate_indep_qiskit_2,2,Add,x,2,WOO
wstate_indep_qiskit_2,2,Add,x,3,WOO
wstate_indep_qiskit_2,2,Add,x,4,WOO
wstate_indep_qiskit_2,2,Add,x,5,WOO
wstate_indep_qiskit_2,2,Add,x,6,WOO
wstate_indep_qiskit_2,2,Add,x,7,WOO
wstate_indep_qiskit_2,2,Add,y,1,Survivor
wstate_indep_qiskit_2,2,Add,y,2,WOO
wstate_indep_qiskit_2,2,Add,y,3,Survivor
wstate_indep_qiskit_2,2,Add,y,4,Survivor
wstate_indep_qiskit_2,2,Add,y,5,WOO
wstate_indep_qiskit_2,2,Add,y,6,WOO
wstate_indep_qiskit_2,2,Add,y,7,WOO
wstate_indep_qiskit_2,2,Add,z,1,Survivor
wstate_indep_qiskit_2,2,Add,z,2,Survivor
wstate_indep_qiskit_2,2,Add,z,3,WOO
wstate_indep_qiskit_2,2,Add,z,4,WOO
wstate_indep_qiskit_2,2,Add,z,5,Survivor
wstate_indep_qiskit_2,2,Add,z,6,Survivor
wstate_indep_qiskit_2,2,Add,z,7,Survivor
wstate_indep_qiskit_2,2,Remove,ry,1,OPO
wstate_indep_qiskit_2,2,Remove,x,2,WOO
wstate_indep_qiskit_2,2,Remove,cz,3,WOO
wstate_indep_qiskit_2,2,Remove,ry,4,OPO
wstate_indep_qiskit_2,2,Remove,cx,5,WOO
wstate_indep_qiskit_2,2,Replace,cx,3,Survivor
wstate_indep_qiskit_2,2,Replace,cx,5,WOO
wstate_indep_qiskit_2,2,Replace,cz,3,OPO
wstate_indep_qiskit_2,2,Replace,h,1,OPO
wstate_indep_qiskit_2,2,Replace,h,4,OPO
wstate_indep_qiskit_2,2,Replace,id,1,OPO
