filename,num_qubits,num_clbits,depth,total_gates,entangling_gates,gate_rz,gate_sx,gate_cx,gate_measure,gate_x,gate_barrier,has_parametric_rz,num_param_rz_angles,uses_multiple_cregs,has_cx_rz_cx_pattern,label
grover_n2_transpiled.qasm,2,2,12,17,2,0,4,2,2,0,0,1,9,0,0,grover
wstate_n3_transpiled.qasm,3,3,24,38,9,0,7,9,3,2,0,1,17,0,1,wstate
ghz_state_n23_transpiled.qasm,23,46,26,49,22,0,1,22,23,0,1,1,2,0,0,ghz
vqe_uccsd_n8_transpiled.qasm,8,8,7657,9684,5284,0,1226,5284,8,49,0,1,3117,1,1,vqe
qaoa_n3_transpiled.qasm,3,3,17,35,6,0,9,6,3,0,0,1,17,1,1,qaoa
qaoa_n6_transpiled.qasm,6,6,150,384,54,0,124,54,6,4,0,1,196,0,0,qaoa
knn_n25_transpiled.qasm,25,1,110,343,96,0,74,96,1,0,0,1,172,1,1,knn
qpe_n9_transpiled.qasm,9,6,95,162,43,0,18,43,6,3,3,1,89,0,1,qpe
dnn_n2_transpiled.qasm,2,2,214,308,42,0,100,42,2,0,0,1,164,0,0,dnn
vqe_uccsd_n6_transpiled.qasm,6,6,1619,2130,1034,0,298,1034,6,23,0,1,769,1,1,vqe
qft_n4_transpiled.qasm,4,4,27,49,12,0,4,12,4,2,1,1,26,0,1,qft
vqe_uccsd_n4_transpiled.qasm,4,4,168,242,88,0,38,88,4,8,0,1,104,1,1,vqe
dnn_n8_transpiled.qasm,8,8,246,1424,192,0,464,192,8,0,0,1,760,0,0,dnn
